time_ms,value
0,301
20,300
40,302
60,300
80,299
100,303
120,301
140,301
160,299
180,299
200,297
220,299
240,301
260,300
280,304
300,302
320,300
340,302
360,300
380,301
400,302
420,301
440,301
460,299
480,300
500,301
520,300
540,301
560,299
580,301
600,303
620,300
640,300
660,303
680,301
700,300
720,302
740,302
760,300
780,299
800,298
820,298
840,300
860,300
880,302
900,300
920,302
940,305
960,301
980,300
1000,301
1020,301
1040,300
1060,300
1080,301
1100,301
1120,302
1140,300
1160,296
1180,300
1200,301
1220,301
1240,302
1260,303
1280,302
1300,301
1320,303
1340,303
1360,300
1380,301
1400,301
1420,300
1440,301
1460,300
1480,298
1500,299
1520,300
1540,301
1560,302
1580,301
1600,300
1620,301
1640,301
1660,301
1680,303
1700,302
1720,301
1740,302
1760,304
1780,301
1800,300
1820,301
1840,299
1860,299
1880,297
1900,298
1920,301
1940,302
1960,302
1980,300
2000,304
2020,303
2040,302
2060,300
2080,300
2100,300
2120,299
2140,299
2160,301
2180,300
2200,300
2220,301
2240,301
2260,302
2280,301
2300,302
2320,300
2340,301
2360,299
2380,301
2400,302
2420,302
2440,301
2460,299
2480,299
2500,300
2520,301
2540,301
2560,300
2580,301
2600,299
2620,300
2640,302
2660,303
2680,304
2700,303
2720,302
2740,300
2760,302
2780,300
2800,299
2820,298
2840,300
2860,301
2880,299
2900,302
2920,302
2940,301
2960,300
2980,302
3000,300
3020,301
3040,300
3060,302
3080,302
3100,300
3120,299
3140,300
3160,299
3180,299
3200,301
3220,300
3240,301
3260,301
3280,300
3300,302
3320,302
3340,301
3360,302
3380,301
3400,301
3420,301
3440,300
3460,300
3480,301
3500,300
3520,300
3540,301
3560,300
3580,299
3600,300
3620,300
3640,302
3660,301
3680,303
3700,301
3720,300
3740,302
3760,301
3780,300
3800,300
3820,300
3840,300
3860,300
3880,300
3900,300
3920,302
3940,302
3960,302
3980,303
4000,301
4020,302
4040,298
4060,297
4080,296
4100,300
4120,301
4140,301
4160,305
4180,304
4200,297
4220,299
4240,300
4260,302
4280,300
4300,301
4320,302
4340,301
4360,303
4380,302
4400,301
4420,299
4440,301
4460,299
4480,301
4500,301
4520,299
4540,300
4560,301
4580,300
4600,301
4620,299
4640,299
4660,298
4680,298
4700,301
4720,302
4740,302
4760,302
4780,303
4800,301
4820,301
4840,300
4860,300
4880,300
4900,299
4920,301
4940,301
4960,301
4980,301
5000,302
5020,300
5040,304
5060,301
5080,300
5100,302
5120,301
5140,300
5160,302
5180,299
5200,301
5220,300
5240,298
5260,299
5280,302
5300,303
5320,303
5340,302
5360,303
5380,303
5400,301
5420,300
5440,302
5460,301
5480,300
5500,298
5520,301
5540,298
5560,295
5580,297
5600,303
5620,305
5640,304
5660,303
5680,301
5700,300
5720,299
5740,299
5760,299
5780,300
5800,301
5820,300
5840,300
5860,299
5880,300
5900,300
5920,301
5940,302
5960,301
5980,299
6000,300
6020,301
6040,302
6060,303
6080,300
6100,299
6120,299
6140,300
6160,300
6180,300
6200,302
6220,300
6240,300
6260,299
6280,298
6300,299
6320,302
6340,303
6360,304
6380,304
6400,301
6420,300
6440,299
6460,299
6480,299
6500,297
6520,299
6540,300
6560,300
6580,301
6600,301
6620,300
6640,301
6660,300
6680,301
6700,301
6720,302
6740,301
6760,302
6780,301
6800,300
6820,301
6840,303
6860,302
6880,301
6900,303
6920,301
6940,300
6960,301
6980,301
7000,299
7020,300
7040,300
7060,300
7080,303
7100,302
7120,301
7140,302
7160,301
7180,300
7200,300
7220,301
7240,301
7260,301
7280,298
7300,297
7320,299
7340,301
7360,305
7380,306
7400,302
7420,302
7440,303
7460,301
7480,301
7500,301
7520,300
7540,301
7560,301
7580,299
7600,300
7620,300
7640,301
7660,300
7680,300
7700,301
7720,301
7740,302
7760,301
7780,302
7800,300
7820,300
7840,299
7860,297
7880,297
7900,300
7920,299
7940,300
7960,301
7980,300
8000,302
8020,301
8040,301
8060,302
8080,300
8100,303
8120,302
8140,302
8160,301
8180,299
8200,300
8220,299
8240,300
8260,300
8280,301
8300,301
8320,301
8340,302
8360,301
8380,302
8400,301
8420,303
8440,302
8460,299
8480,299
8500,299
8520,300
8540,301
8560,300
8580,301
8600,301
8620,300
8640,299
8660,300
8680,302
8700,301
8720,301
8740,300
8760,300
8780,301
8800,300
8820,301
8840,300
8860,301
8880,301
8900,302
8920,299
8940,299
8960,301
8980,303
9000,304
9020,301
9040,302
9060,304
9080,298
9100,297
9120,301
9140,301
9160,300
9180,302
9200,299
9220,296
9240,297
9260,300
9280,300
9300,300
9320,302
9340,302
9360,302
9380,303
9400,305
9420,303
9440,303
9460,301
9480,299
9500,298
9520,299
9540,301
9560,300
9580,299
9600,298
9620,301
9640,302
9660,302
9680,302
9700,304
9720,303
9740,298
9760,298
9780,301
9800,300
9820,301
9840,301
9860,300
9880,299
9900,301
9920,303
9940,302
9960,299
9980,298
10000,299
10020,301
10040,302
10060,303
10080,301
10100,303
10120,300
10140,300
10160,300
10180,299
10200,299
10220,300
10240,300
10260,299
10280,302
10300,300
10320,302
10340,302
10360,302
10380,302
10400,301
10420,300
10440,299
10460,298
10480,298
10500,302
10520,301
10540,299
10560,298
10580,301
10600,300
10620,298
10640,304
10660,305
10680,305
10700,299
10720,299
10740,301
10760,300
10780,299
10800,302
10820,301
10840,300
10860,299
10880,300
10900,298
10920,299
10940,300
10960,300
10980,301
11000,302
11020,301
11040,301
11060,301
11080,301
11100,300
11120,303
11140,302
11160,300
11180,298
11200,299
11220,301
11240,298
11260,298
11280,301
11300,300
11320,303
11340,301
11360,300
11380,300
11400,302
11420,301
11440,303
11460,299
11480,301
11500,303
11520,301
11540,301
11560,302
11580,300
11600,299
11620,298
11640,301
11660,300
11680,301
11700,303
11720,303
11740,302
11760,302
11780,300
11800,302
11820,300
11840,300
11860,299
11880,300
11900,300
11920,298
11940,300
11960,301
11980,299
12000,302
12020,302
12040,304
12060,303
12080,302
12100,301
12120,297
12140,297
12160,299
12180,301
12200,302
12220,301
12240,302
12260,299
12280,300
12300,300
12320,301
12340,301
12360,302
12380,301
12400,302
12420,301
12440,302
12460,302
12480,301
12500,301
12520,301
12540,300
12560,301
12580,302
12600,300
12620,298
12640,301
12660,304
12680,304
12700,300
12720,300
12740,301
12760,301
12780,301
12800,300
12820,299
12840,299
12860,302
12880,300
12900,301
12920,300
12940,301
12960,301
12980,301
13000,301
13020,302
13040,302
13060,300
13080,302
13100,300
13120,300
13140,302
13160,302
13180,301
13200,299
13220,300
13240,301
13260,299
13280,301
13300,301
13320,300
13340,301
13360,301
13380,301
13400,302
13420,300
13440,301
13460,302
13480,301
13500,300
13520,300
13540,300
13560,299
13580,299
13600,299
13620,301
13640,302
13660,302
13680,304
13700,306
13720,303
13740,298
13760,300
13780,299
13800,298
13820,299
13840,301
13860,301
13880,302
13900,302
13920,300
13940,300
13960,301
13980,301
14000,302
14020,301
14040,300
14060,302
14080,301
14100,303
14120,303
14140,298
14160,302
14180,301
14200,299
14220,301
14240,302
14260,303
14280,300
14300,299
14320,301
14340,302
14360,300
14380,301
14400,301
14420,300
14440,301
14460,302
14480,300
14500,300
14520,301
14540,300
14560,301
14580,300
14600,301
14620,301
14640,300
14660,298
14680,299
14700,300
14720,303
14740,305
14760,302
14780,301
14800,300
14820,300
14840,301
14860,297
14880,301
14900,301
14920,302
14940,300
14960,301
14980,301
15000,300
15020,302
15040,301
15060,301
15080,303
15100,304
15120,303
15140,299
15160,298
15180,299
15200,299
15220,299
15240,300
15260,302
15280,300
15300,300
15320,300
15340,300
15360,302
15380,303
15400,301
15420,300
15440,299
15460,303
15480,303
15500,301
15520,301
15540,300
15560,300
15580,299
15600,300
15620,302
15640,303
15660,301
15680,299
15700,301
15720,301
15740,301
15760,301
15780,302
15800,303
15820,302
15840,300
15860,300
15880,301
15900,301
15920,299
15940,299
15960,299
15980,299
16000,301
16020,301
16040,302
16060,300
16080,303
16100,302
16120,302
16140,300
16160,301
16180,300
16200,301
16220,302
16240,300
16260,299
16280,300
16300,300
16320,298
16340,299
16360,301
16380,300
16400,296
16420,297
16440,302
16460,304
16480,313
16500,306
16520,304
16540,300
16560,300
16580,298
16600,297
16620,298
16640,300
16660,298
16680,300
16700,301
16720,303
16740,301
16760,301
16780,301
16800,299
16820,301
16840,299
16860,301
16880,300
16900,301
16920,300
16940,301
16960,302
16980,300
17000,300
17020,301
17040,299
17060,300
17080,302
17100,300
17120,302
17140,299
17160,302
17180,306
17200,302
17220,298
17240,300
17260,298
17280,298
17300,299
17320,300
17340,303
17360,300
17380,303
17400,303
17420,302
17440,300
17460,298
17480,300
17500,302
17520,302
17540,299
17560,300
17580,301
17600,303
17620,301
17640,298
17660,300
17680,302
17700,302
17720,301
17740,301
17760,300
17780,300
17800,300
17820,302
17840,301
17860,302
17880,302
17900,300
17920,298
17940,299
17960,301
17980,303
18000,301
18020,301
18040,300
18060,300
18080,304
18100,301
18120,298
18140,303
18160,301
18180,303
18200,302
18220,302
18240,300
18260,298
18280,298
18300,297
18320,299
18340,302
18360,306
18380,302
18400,303
18420,300
18440,300
18460,302
18480,303
18500,301
18520,301
18540,301
18560,299
18580,301
18600,300
18620,298
18640,299
18660,298
18680,301
18700,303
18720,300
18740,301
18760,301
18780,303
18800,300
18820,300
18840,303
18860,301
18880,301
18900,301
18920,301
18940,299
18960,299
18980,300
19000,300
19020,301
19040,302
19060,302
19080,302
19100,303
19120,302
19140,302
19160,301
19180,301
19200,301
19220,299
19240,299
19260,299
19280,299
19300,300
19320,300
19340,300
19360,299
19380,301
19400,300
19420,302
19440,303
19460,303
19480,300
19500,300
19520,300
19540,299
19560,301
19580,301
19600,301
19620,300
19640,300
19660,301
19680,301
19700,302
19720,300
19740,301
19760,302
19780,301
19800,302
19820,301
19840,300
19860,300
19880,302
19900,301
19920,299
19940,300
19960,300
19980,301
20000,298
20020,300
20040,301
20060,302
20080,301
20100,300
20120,302
20140,303
20160,302
20180,301
20200,304
20220,300
20240,300
20260,302
20280,301
20300,299
20320,297
20340,299
20360,300
20380,299
20400,300
20420,302
20440,301
20460,303
20480,303
20500,301
20520,300
20540,301
